"age","workclass","education","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
34,"Local-gov","Assoc-voc","Divorced","Protective-serv","Own-child","Asian-Pac-Islander","Male",0,0,40,"United-States","<=50K"
51,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,50,"United-States",">50K"
48,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,42,"United-States",">50K"
63,"Private","Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
19,"Private","HS-grad","Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
73,"Private","Some-college","Married-civ-spouse","Adm-clerical","Wife","White","Female",20051,0,36,"United-States",">50K"
51,"Private","HS-grad","Divorced","Prof-specialty","Not-in-family","White","Female",0,0,43,"United-States","<=50K"
54,"Private","Some-college","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
41,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,1848,40,"United-States",">50K"
36,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",4386,0,50,"United-States",">50K"
42,"Private","7th-8th","Married-civ-spouse","Craft-repair","Husband","Other","Male",0,0,40,"United-States","<=50K"
38,"Private","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
37,"State-gov","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
35,"State-gov","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,1485,40,"United-States",">50K"
51,"Self-emp-not-inc","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
23,"Private","Assoc-voc","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
27,"State-gov","Bachelors","Never-married","Prof-specialty","Own-child","Black","Female",0,0,40,"United-States","<=50K"
37,"Private","Assoc-voc","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,42,"United-States",">50K"
29,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,45,"United-States","<=50K"
33,"Private","1st-4th","Married-civ-spouse","Craft-repair","Not-in-family","White","Male",0,2603,32,"Mexico","<=50K"
60,"Private","HS-grad","Divorced","Machine-op-inspct","Not-in-family","White","Male",4650,0,40,"United-States","<=50K"
22,"Private","Bachelors","Never-married","Adm-clerical","Own-child","White","Male",0,0,20,"United-States","<=50K"
60,"State-gov","Assoc-voc","Widowed","Other-service","Not-in-family","Black","Female",0,0,37,"United-States","<=50K"
