sex,age,edu,marital,ls,trust,nofriend,smoke,alcabuse,wkabint,englang,height,weight,income
FEMALE,57,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,NONE,170,89,<=1K
MALE,20,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,4,NO,NO,NO,ACTIVE,187,82,<=1K
FEMALE,18,VOCATIONAL/GRAMMAR,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,20,NO,NO,NO,ACTIVE,165,50,<=1K
FEMALE,78,PRIMARY/NO EDUCATION,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,160,78,<=1K
FEMALE,54,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,6,YES,NO,NO,NONE,158,50,>1K
MALE,20,SECONDARY,SINGLE,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,ACTIVE,165,65,<=1K
FEMALE,39,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,PASSIVE,168,68,>1K
MALE,39,SECONDARY,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,171,86,>1K
FEMALE,43,SECONDARY,MARRIED,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,1,YES,NO,NO,NONE,167,54,<=1K
FEMALE,63,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,25,YES,NO,NO,NONE,155,65,>1K
FEMALE,38,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,4,YES,NO,NO,NONE,180,77,>1K
FEMALE,73,VOCATIONAL/GRAMMAR,WIDOWED,PLEASED,ONE CAN`T BE TOO CAREFUL,20,NO,NO,NO,NONE,168,78,>1K
FEMALE,54,SECONDARY,WIDOWED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,YES,NO,NO,NONE,170,75,>1K
MALE,30,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,14,YES,NO,NO,NONE,170,74,<=1K
MALE,68,SECONDARY,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,165,65,<=1K
MALE,61,PRIMARY/NO EDUCATION,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,6,YES,NO,NO,NONE,161,100,<=1K
MALE,84,PRIMARY/NO EDUCATION,SINGLE,PLEASED,MOST PEOPLE CAN BE TRUSTED,0,NO,NO,NO,NONE,170,56,>1K
FEMALE,87,SECONDARY,DIVORCED,MIXED,IT`S DIFFICULT TO TELL,3,NO,NO,NO,NONE,155,75,>1K
MALE,47,PRIMARY/NO EDUCATION,MARRIED,PLEASED,IT`S DIFFICULT TO TELL,4,YES,NO,NO,NONE,164,70,<=1K
MALE,45,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,1,YES,NO,YES,NONE,181,78,<=1K
FEMALE,60,VOCATIONAL/GRAMMAR,MARRIED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,164,100,<=1K
