"sex","age","edu","marital","income","ls","trust","nofriend","smoke","alcabuse","wkabint","englang","height","weight"
"FEMALE",57,"VOCATIONAL/GRAMMAR","MARRIED",800,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",170,89
"MALE",20,"VOCATIONAL/GRAMMAR","SINGLE",350,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",4,"NO","NO","NO","ACTIVE",187,82
"FEMALE",18,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",20,"NO","NO","NO","ACTIVE",165,50
"FEMALE",78,"PRIMARY/NO EDUCATION","WIDOWED",900,"MIXED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",160,78
"FEMALE",54,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","NONE",158,50
"MALE",20,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","ACTIVE",165,65
"FEMALE",39,"SECONDARY","MARRIED",2000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","PASSIVE",168,68
"MALE",39,"SECONDARY","MARRIED",1197,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",171,86
"FEMALE",43,"SECONDARY","MARRIED",580,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",1,"YES","NO","NO","NONE",167,54
"FEMALE",63,"SECONDARY","MARRIED",1400,"PLEASED","ONE CAN`T BE TOO CAREFUL",25,"YES","NO","NO","NONE",155,65
"FEMALE",38,"VOCATIONAL/GRAMMAR","MARRIED",1500,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","NO","NONE",180,77
"FEMALE",73,"VOCATIONAL/GRAMMAR","WIDOWED",1700,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",168,78
"FEMALE",54,"SECONDARY","WIDOWED",2000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"YES","NO","NO","NONE",170,75
"MALE",30,"VOCATIONAL/GRAMMAR","SINGLE",900,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",14,"YES","NO","NO","NONE",170,74
"MALE",68,"SECONDARY","MARRIED",0,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",165,65
"MALE",61,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","NONE",161,100
"MALE",84,"PRIMARY/NO EDUCATION","SINGLE",2000,"PLEASED","MOST PEOPLE CAN BE TRUSTED",0,"NO","NO","NO","NONE",170,56
"FEMALE",87,"SECONDARY","DIVORCED",1400,"MIXED","IT`S DIFFICULT TO TELL",3,"NO","NO","NO","NONE",155,75
"MALE",47,"PRIMARY/NO EDUCATION","MARRIED",560,"PLEASED","IT`S DIFFICULT TO TELL",4,"YES","NO","NO","NONE",164,70
"MALE",45,"VOCATIONAL/GRAMMAR","MARRIED",530,"PLEASED","ONE CAN`T BE TOO CAREFUL",1,"YES","NO","YES","NONE",181,78
"FEMALE",60,"VOCATIONAL/GRAMMAR","MARRIED",700,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",164,100
"MALE",27,"VOCATIONAL/GRAMMAR","SINGLE",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",175,97
"FEMALE",49,"POST-SECONDARY OR HIGHER","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",18,"YES","NO","NO","NONE",160,60
"FEMALE",58,"POST-SECONDARY OR HIGHER","MARRIED",3500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"YES","NO","NO","NONE",162,59
"MALE",30,"VOCATIONAL/GRAMMAR","SINGLE",1600,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",174,75
"MALE",59,"SECONDARY","MARRIED",1300,"PLEASED","MOST PEOPLE CAN BE TRUSTED",3,"YES","YES","NO","NONE",176,68
"FEMALE",26,"POST-SECONDARY OR HIGHER","SINGLE",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","ACTIVE",160,58
"FEMALE",35,"SECONDARY","SINGLE",1300,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",158,52
"MALE",17,"PRIMARY/NO EDUCATION","SINGLE",0,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","PASSIVE",178,50
"FEMALE",40,"POST-SECONDARY OR HIGHER","DIVORCED",2000,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",8,"YES","NO","NO","ACTIVE",159,57
"FEMALE",75,"SECONDARY","MARRIED",1157,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","NONE",162,99
"MALE",21,"PRIMARY/NO EDUCATION","SINGLE",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",8,"YES","NO","NO","NONE",186,75
"FEMALE",43,"PRIMARY/NO EDUCATION","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",168,67
"MALE",34,"POST-SECONDARY OR HIGHER","MARRIED",4000,"PLEASED","MOST PEOPLE CAN BE TRUSTED",10,"NO","NO","NO","NONE",184,110
"FEMALE",35,"SECONDARY","MARRIED",800,"PLEASED","MOST PEOPLE CAN BE TRUSTED",20,"NO","NO","NO","NONE",166,53
"MALE",47,"VOCATIONAL/GRAMMAR","MARRIED",1200,"MIXED","IT`S DIFFICULT TO TELL",5,"YES","NO","NO","NONE",164,64
"MALE",20,"SECONDARY","SINGLE",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",4,"NO","NO","NO","ACTIVE",182,86
"MALE",71,"SECONDARY","MARRIED",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",170,106
"FEMALE",41,"SECONDARY","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",160,66
"MALE",60,"SECONDARY","SINGLE",900,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",178,75
"MALE",74,"SECONDARY","MARRIED",1500,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",173,76
"FEMALE",52,"SECONDARY","MARRIED",2000,"PLEASED","MOST PEOPLE CAN BE TRUSTED",3,"NO","NO","NO","NONE",162,75
"MALE",25,"POST-SECONDARY OR HIGHER","SINGLE",0,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","YES","ACTIVE",186,80
"MALE",77,"PRIMARY/NO EDUCATION","MARRIED",940,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",180,75
"FEMALE",20,"VOCATIONAL/GRAMMAR","SINGLE",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"YES","YES","YES","ACTIVE",157,60
"MALE",40,"VOCATIONAL/GRAMMAR","MARRIED",1890,"PLEASED","MOST PEOPLE CAN BE TRUSTED",2,"YES","NO","NO","NONE",178,82
"FEMALE",31,"POST-SECONDARY OR HIGHER","DIVORCED",1050,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"YES","NO","NO","ACTIVE",155,63
"MALE",64,"POST-SECONDARY OR HIGHER","MARRIED",1600,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","ACTIVE",165,70
"FEMALE",30,"SECONDARY","SINGLE",1600,"PLEASED","MOST PEOPLE CAN BE TRUSTED",2,"NO","NO","NO","PASSIVE",169,60
"FEMALE",27,"POST-SECONDARY OR HIGHER","SINGLE",1400,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","PASSIVE",170,62
"MALE",24,"SECONDARY","SINGLE",0,"PLEASED","IT`S DIFFICULT TO TELL",10,"NO","NO","YES","ACTIVE",190,80
