"sex","age","edu","marital","income","ls","trust","nofriend","smoke","alcabuse","wkabint","englang","height","weight"
"MALE",86,"SECONDARY","MARRIED",2700,"PLEASED","ONE CAN`T BE TOO CAREFUL",7,"NO","NO","NO","NONE",175,60
"MALE",65,"VOCATIONAL/GRAMMAR","MARRIED",1200,"PLEASED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",164,60
"MALE",44,"SECONDARY","MARRIED",6000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","YES","PASSIVE",179,80
"MALE",61,"PRIMARY/NO EDUCATION","MARRIED",1200,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",176,78
"FEMALE",42,"VOCATIONAL/GRAMMAR","DIVORCED",0,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","YES","ACTIVE",164,67
"MALE",36,"VOCATIONAL/GRAMMAR","DIVORCED",3000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",0,"YES","NO","YES","PASSIVE",194,145
"FEMALE",35,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",168,62
"MALE",59,"VOCATIONAL/GRAMMAR","DIVORCED",2600,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",172,65
"FEMALE",36,"VOCATIONAL/GRAMMAR","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",168,78
"FEMALE",55,"VOCATIONAL/GRAMMAR","MARRIED",0,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",161,80
"MALE",19,"VOCATIONAL/GRAMMAR","SINGLE",700,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",178,60
"FEMALE",57,"POST-SECONDARY OR HIGHER","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","PASSIVE",166,55
"FEMALE",83,"SECONDARY","MARRIED",800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",155,52
"FEMALE",57,"VOCATIONAL/GRAMMAR","MARRIED",1800,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",160,83
"MALE",62,"VOCATIONAL/GRAMMAR","WIDOWED",1100,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",170,83
"FEMALE",60,"SECONDARY","WIDOWED",890,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",160,68
"FEMALE",21,"SECONDARY","SINGLE",0,"PLEASED","IT`S DIFFICULT TO TELL",8,"YES","NO","YES","PASSIVE",176,82
"FEMALE",36,"POST-SECONDARY OR HIGHER","MARRIED",3000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","PASSIVE",163,71
"FEMALE",36,"VOCATIONAL/GRAMMAR","MARRIED",450,"PLEASED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",164,75
"FEMALE",41,"POST-SECONDARY OR HIGHER","DIVORCED",1700,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","PASSIVE",167,59
"FEMALE",39,"PRIMARY/NO EDUCATION","MARRIED",1560,"PLEASED","ONE CAN`T BE TOO CAREFUL",20,"YES","YES","NO","NONE",178,77
"MALE",28,"SECONDARY","SINGLE",2800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","ACTIVE",190,90
"FEMALE",28,"POST-SECONDARY OR HIGHER","MARRIED",1800,"PLEASED","ONE CAN`T BE TOO CAREFUL",15,"NO","NO","NO","ACTIVE",162,52
"FEMALE",54,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",1,"YES","NO","NO","NONE",150,45
"MALE",63,"POST-SECONDARY OR HIGHER","SINGLE",3600,"MIXED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","ACTIVE",178,68
"MALE",19,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",12,"NO","NO","NO","ACTIVE",165,76
"MALE",33,"VOCATIONAL/GRAMMAR","MARRIED",2000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","YES","NONE",182,110
"FEMALE",59,"SECONDARY","WIDOWED",915,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",150,67
"MALE",48,"VOCATIONAL/GRAMMAR","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",8,"NO","NO","NO","NONE",183,102
"FEMALE",58,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",164,75
"FEMALE",52,"POST-SECONDARY OR HIGHER","MARRIED",2300,"MIXED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","ACTIVE",160,54
"MALE",40,"POST-SECONDARY OR HIGHER","MARRIED",2500,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","NONE",186,95
"MALE",73,"PRIMARY/NO EDUCATION","MARRIED",1400,"MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED",3,"NO","NO","NO","NONE",180,88
"FEMALE",47,"VOCATIONAL/GRAMMAR","DIVORCED",1290,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",20,"NO","NO","NO","NONE",158,50
"FEMALE",62,"POST-SECONDARY OR HIGHER","SINGLE",1000,"PLEASED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","PASSIVE",165,80
"MALE",26,"PRIMARY/NO EDUCATION","SINGLE",0,"MIXED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",175,77
"FEMALE",46,"PRIMARY/NO EDUCATION","DIVORCED",1200,"MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL",1,"YES","NO","NO","NONE",164,70
"FEMALE",54,"PRIMARY/NO EDUCATION","MARRIED",900,"PLEASED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",165,100
"MALE",28,"SECONDARY","SINGLE",1800,"DELIGHTED","MOST PEOPLE CAN BE TRUSTED",3,"NO","NO","NO","NONE",178,84
"FEMALE",52,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",13,"YES","NO","NO","NONE",164,75
"FEMALE",52,"VOCATIONAL/GRAMMAR","WIDOWED",750,"MIXED","ONE CAN`T BE TOO CAREFUL",6,"YES","NO","NO","NONE",166,80
"MALE",49,"POST-SECONDARY OR HIGHER","MARRIED",6000,"PLEASED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","ACTIVE",173,90
"FEMALE",63,"PRIMARY/NO EDUCATION","MARRIED",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",164,76
"MALE",25,"SECONDARY","SINGLE",1000,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","PASSIVE",176,74
"FEMALE",36,"SECONDARY","MARRIED",1900,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",3,"YES","NO","NO","NONE",165,56
"MALE",56,"VOCATIONAL/GRAMMAR","MARRIED",8000,"PLEASED","MOST PEOPLE CAN BE TRUSTED",30,"NO","NO","NO","NONE",182,76
"FEMALE",55,"PRIMARY/NO EDUCATION","WIDOWED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",1,"NO","NO","NO","NONE",160,68
"FEMALE",49,"PRIMARY/NO EDUCATION","MARRIED",1000,"MOSTLY SATISFIED","IT`S DIFFICULT TO TELL",4,"NO","NO","NO","NONE",170,85
"MALE",19,"VOCATIONAL/GRAMMAR","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",12,"NO","NO","NO","ACTIVE",182,72
"FEMALE",26,"SECONDARY","SINGLE",1200,"PLEASED","ONE CAN`T BE TOO CAREFUL",11,"NO","NO","NO","NONE",168,85
