"sex","age","edu","marital","income","ls","trust","nofriend","smoke","alcabuse","wkabint","englang","height","weight"
"FEMALE",66,"SECONDARY","WIDOWED",803,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",176,70
"FEMALE",56,"VOCATIONAL/GRAMMAR","MARRIED",0,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",2,"NO","NO","NO","NONE",178,64
"MALE",45,"POST-SECONDARY OR HIGHER","SINGLE",2100,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",185,90
"FEMALE",32,"VOCATIONAL/GRAMMAR","MARRIED",200,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","NONE",165,60
"FEMALE",60,"PRIMARY/NO EDUCATION","MARRIED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",2,"YES","NO","NO","NONE",160,78
"FEMALE",85,"PRIMARY/NO EDUCATION","WIDOWED",0,"MIXED","ONE CAN`T BE TOO CAREFUL",3,"NO","NO","NO","NONE",160,59
"MALE",76,"SECONDARY","MARRIED",2800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",5,"NO","NO","NO","NONE",176,80
"MALE",73,"POST-SECONDARY OR HIGHER","MARRIED",2500,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",167,97
"FEMALE",55,"POST-SECONDARY OR HIGHER","DIVORCED",1800,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",158,65
"FEMALE",60,"POST-SECONDARY OR HIGHER","MARRIED",2000,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"YES","NO","NO","PASSIVE",160,95
"FEMALE",61,"SECONDARY","MARRIED",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",2,"NO","NO","NO","NONE",168,69
"FEMALE",81,"PRIMARY/NO EDUCATION","MARRIED",2600,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",0,"NO","NO","NO","NONE",170,62
"MALE",30,"SECONDARY","SINGLE",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",165,55
"FEMALE",53,"VOCATIONAL/GRAMMAR","MARRIED",2130,"MIXED","ONE CAN`T BE TOO CAREFUL",9,"NO","NO","NO","NONE",164,65
"MALE",46,"SECONDARY","MARRIED",450,"MIXED","ONE CAN`T BE TOO CAREFUL",10,"NO","YES","NO","NONE",180,95
"MALE",20,"SECONDARY","SINGLE",0,"PLEASED","MOST PEOPLE CAN BE TRUSTED",20,"YES","NO","NO","PASSIVE",175,81
"FEMALE",36,"SECONDARY","SINGLE",968,"MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL",4,"NO","NO","NO","PASSIVE",162,62
"FEMALE",60,"SECONDARY","MARRIED",1900,"DELIGHTED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","NONE",169,62
"FEMALE",22,"POST-SECONDARY OR HIGHER","DIVORCED",2500,"MIXED","ONE CAN`T BE TOO CAREFUL",4,"YES","NO","YES","PASSIVE",170,76
"FEMALE",43,"VOCATIONAL/GRAMMAR","MARRIED",0,"PLEASED","ONE CAN`T BE TOO CAREFUL",10,"NO","NO","NO","NONE",164,82
"FEMALE",54,"SECONDARY","MARRIED",760,"PLEASED","ONE CAN`T BE TOO CAREFUL",6,"NO","NO","NO","PASSIVE",156,76
